user_id,item_id,ui_b1_count_in_week,ui_b2_count_in_week,ui_b3_count_in_week,ui_b4_count_in_week,buy_or_not
492.0,319959973.0,2,0,0,0,0.0
45561.0,18086124.0,1,1,0,0,0.0
45561.0,53005690.0,1,0,0,0,0.0
45561.0,195041142.0,1,0,0,0,0.0
45561.0,356738638.0,1,1,0,0,0.0
45561.0,369028164.0,1,1,0,0,0.0
59436.0,265165782.0,8,0,1,1,0.0
59436.0,338619713.0,3,0,1,0,0.0
131694.0,99730026.0,1,0,0,0,0.0
134211.0,187957654.0,2,0,0,0,0.0
134211.0,191796874.0,2,0,0,0,0.0
134211.0,237518800.0,2,0,0,0,0.0
134211.0,303531220.0,8,0,0,0,0.0
169005.0,115672555.0,9,0,1,2,0.0
169005.0,235773943.0,2,0,0,0,1.0
169005.0,297955576.0,5,0,1,0,0.0
169005.0,374059838.0,1,0,0,0,0.0
183987.0,228666670.0,6,0,0,0,1.0
183987.0,321832030.0,8,0,1,1,0.0
186960.0,30014776.0,2,0,3,0,0.0
186960.0,173566592.0,1,0,1,0,0.0
186960.0,178654862.0,0,0,1,0,0.0
186960.0,223876589.0,1,0,1,0,0.0
186960.0,357183142.0,2,0,1,0,0.0
186960.0,370787675.0,4,0,1,3,1.0
190518.0,7497394.0,1,0,0,0,0.0
190518.0,63272625.0,3,0,1,0,0.0
190518.0,70541094.0,8,0,1,1,0.0
190518.0,179595658.0,3,0,1,0,0.0
190518.0,216856124.0,5,0,1,6,0.0
190518.0,220925198.0,2,0,1,0,0.0
190518.0,318168265.0,16,0,2,0,1.0
190518.0,387221629.0,5,0,1,0,0.0
219885.0,34208630.0,2,0,0,0,0.0
219885.0,136326679.0,8,0,0,0,0.0
219885.0,187852883.0,3,0,0,0,0.0
219885.0,255788746.0,8,0,0,0,0.0
219885.0,292546793.0,9,1,0,0,0.0
219885.0,307162241.0,3,1,0,0,0.0
226017.0,4134969.0,1,0,1,0,0.0
226017.0,76072430.0,1,0,1,0,0.0
226017.0,168540732.0,1,0,1,0,0.0
226017.0,309013031.0,2,0,2,1,0.0
226017.0,367057155.0,2,0,2,0,0.0
279801.0,6460944.0,2,0,0,0,0.0
279801.0,82092951.0,2,0,0,0,0.0
279801.0,87484660.0,2,0,0,0,0.0
279801.0,90802371.0,3,0,0,0,0.0
279801.0,109144597.0,1,0,0,0,0.0
279801.0,182983546.0,3,0,1,0,0.0
279801.0,186339229.0,2,0,0,0,0.0
279801.0,188244394.0,3,0,0,1,0.0
279801.0,203143342.0,1,0,0,0,0.0
279801.0,217213194.0,3,0,0,0,0.0
279801.0,301174651.0,1,0,0,0,0.0
279801.0,324878712.0,1,0,0,0,0.0
279801.0,390064599.0,3,0,0,0,0.0
291249.0,89784041.0,3,0,0,1,0.0
291249.0,311094391.0,1,0,0,1,0.0
297918.0,49264174.0,6,0,1,1,0.0
308109.0,51528534.0,6,0,0,1,0.0
308109.0,70135684.0,11,0,1,1,0.0
308109.0,320989209.0,1,0,1,0,0.0
308109.0,397163612.0,17,0,0,1,0.0
317091.0,232311729.0,2,0,0,0,0.0
317091.0,236153329.0,1,0,0,0,0.0
317091.0,294090341.0,2,0,1,0,0.0
317091.0,325346579.0,1,0,0,0,0.0
317091.0,393114700.0,1,0,0,0,0.0
353514.0,88411600.0,1,0,0,0,0.0
353514.0,179908654.0,2,0,0,1,0.0
353514.0,340348777.0,2,0,1,0,1.0
359613.0,209593533.0,1,0,0,0,0.0
366030.0,265710382.0,1,0,0,0,0.0
366030.0,270876059.0,5,0,0,1,0.0
369327.0,21439026.0,1,0,0,0,0.0
369327.0,81097042.0,1,0,0,0,0.0
369327.0,221109774.0,2,0,0,0,0.0
404232.0,5853238.0,7,1,1,1,0.0
412008.0,19882965.0,1,0,0,0,0.0
412008.0,40937136.0,1,0,0,0,0.0
412008.0,62182100.0,1,0,0,0,0.0
412008.0,98432713.0,1,0,1,0,0.0
412008.0,108640763.0,1,0,0,0,0.0
412008.0,202432834.0,1,0,0,0,0.0
412008.0,228364643.0,5,0,1,1,0.0
412008.0,282624063.0,3,1,0,0,0.0
412008.0,287748212.0,2,1,0,0,0.0
412008.0,330592164.0,1,0,0,0,0.0
412008.0,338126202.0,2,1,1,0,0.0
412008.0,338541609.0,1,0,0,0,0.0
412008.0,362880568.0,1,1,0,0,0.0
412008.0,364112019.0,1,1,0,0,0.0
412008.0,396575824.0,1,0,0,0,0.0
416853.0,124291495.0,1,0,0,0,0.0
416853.0,150505922.0,1,0,0,0,0.0
416853.0,301794145.0,1,0,0,0,0.0
416853.0,398523268.0,2,0,0,0,0.0
431616.0,192024246.0,3,0,0,0,0.0
431616.0,245142272.0,3,0,0,0,0.0
431616.0,288044440.0,2,0,0,0,0.0
447828.0,365247695.0,2,0,1,0,0.0
462876.0,94197034.0,4,0,2,2,0.0
462876.0,136482760.0,1,0,0,0,0.0
515076.0,67340012.0,1,0,0,0,0.0
530238.0,230407074.0,11,0,0,0,0.0
541044.0,150810107.0,1,0,0,0,0.0
541044.0,153163302.0,12,1,1,1,0.0
541044.0,198482135.0,10,1,2,1,0.0
541044.0,247328523.0,2,1,1,1,0.0
541044.0,262378478.0,4,1,1,1,0.0
541044.0,267942459.0,3,1,0,0,0.0
541044.0,272499743.0,2,1,0,0,0.0
541044.0,341536105.0,7,0,1,1,0.0
581172.0,39694796.0,1,0,0,0,0.0
581172.0,72757428.0,1,0,0,0,0.0
581172.0,90997436.0,1,0,0,0,0.0
581172.0,97356904.0,2,1,0,1,0.0
581172.0,306916584.0,3,1,0,0,0.0
585903.0,72789998.0,12,0,0,1,0.0
593508.0,105129727.0,3,0,1,1,0.0
593508.0,344786437.0,11,0,1,2,0.0
621654.0,146251967.0,4,0,0,1,1.0
629406.0,160041411.0,1,0,1,1,0.0
634512.0,396641311.0,1,0,0,0,0.0
637239.0,199284620.0,1,1,0,0,0.0
637239.0,211735608.0,1,0,0,0,0.0
640464.0,75241742.0,1,0,0,0,0.0
640464.0,275248560.0,5,0,0,0,0.0
1031395.0,78886864.0,2,0,0,0,0.0
1042942.0,13821396.0,2,0,1,0,0.0
1045669.0,303055990.0,3,0,1,0,1.0
1051240.0,274231644.0,1,0,0,0,0.0
1051240.0,355076755.0,1,0,0,0,0.0
1093420.0,246455407.0,2,0,1,1,0.0
1093420.0,305307591.0,1,0,0,0,0.0
1101607.0,5623729.0,1,0,0,0,0.0
1101607.0,22683673.0,1,1,0,0,0.0
1101607.0,53254507.0,1,1,0,0,0.0
1101607.0,53448050.0,1,1,0,0,0.0
1101607.0,83969518.0,1,0,0,0,0.0
1101607.0,95376061.0,1,1,0,0,0.0
1101607.0,123757210.0,1,0,0,0,0.0
1101607.0,133750826.0,1,0,0,0,0.0
1101607.0,182021256.0,1,1,0,0,0.0
1101607.0,193193132.0,1,1,0,0,0.0
1101607.0,256757777.0,2,1,0,0,0.0
1101607.0,273319715.0,1,1,0,0,0.0
1101607.0,322122371.0,4,1,0,0,0.0
1101607.0,390185336.0,1,1,0,0,0.0
1111549.0,352277646.0,11,1,1,0,0.0
1133104.0,10030985.0,5,0,0,1,0.0
1133560.0,399724380.0,3,0,2,1,0.0
1145326.0,54556965.0,5,0,1,0,0.0
1145383.0,157663.0,3,0,0,1,0.0
1145383.0,113041474.0,3,0,0,1,0.0
1152940.0,303482106.0,3,0,1,1,0.0
1152940.0,327495212.0,3,0,1,1,0.0
1154422.0,171906742.0,13,0,1,1,0.0
1154422.0,247510269.0,1,0,0,0,0.0
1154422.0,334477622.0,5,1,1,1,0.0
1164136.0,2299883.0,1,0,0,0,0.0
1164136.0,179019774.0,1,0,0,0,0.0
1164136.0,257079071.0,2,0,0,0,0.0
1164136.0,269189516.0,1,0,0,0,0.0
1164136.0,338718708.0,1,0,0,0,0.0
1181293.0,85469185.0,1,0,0,0,0.0
1181293.0,223889599.0,1,0,0,0,0.0
1199158.0,103691631.0,1,0,0,0,0.0
1199158.0,113673374.0,1,0,0,0,0.0
1199158.0,175649607.0,1,0,1,0,0.0
1199158.0,177334482.0,1,0,0,0,0.0
1199158.0,260542034.0,1,0,0,0,0.0
1199158.0,326176178.0,1,0,0,0,0.0
1199158.0,353586589.0,1,0,1,0,0.0
1202338.0,42298558.0,3,1,0,0,0.0
1202338.0,65627789.0,3,1,0,0,0.0
1202338.0,88315890.0,9,0,1,4,0.0
1202338.0,124976148.0,2,1,0,0,0.0
1202338.0,181446976.0,2,1,0,0,0.0
1202338.0,278006318.0,6,0,0,1,0.0
1202338.0,333711706.0,2,1,0,0,0.0
1208836.0,390093772.0,4,0,0,1,0.0
1230814.0,168786070.0,8,0,1,0,0.0
1230814.0,195371822.0,8,0,1,0,0.0
1230814.0,263565845.0,9,0,1,0,0.0
1240585.0,168152822.0,3,0,1,1,0.0
